event,start,end,duration,RMSE,MAE,stars,params,comment
mFriedman_nlsr::nlxb_01,15:36:31.563,15:36:32.126,0.563,0.0809,0.0712,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_nlsr::nlxb_02,15:36:32.141,15:36:32.766,0.625,0.0047,0.0038,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_nlsr::nlxb_03,15:36:32.766,15:36:33.406,0.64,0.0801,0.0729,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_nlsr::nlxb_04,15:36:33.406,15:36:33.969,0.563,0.0809,0.0714,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_nlsr::nlxb_05,15:36:33.969,15:36:34.609,0.64,0.0056,0.0043,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_nlsr::nlxb_06,15:36:34.609,15:36:35.187,0.578,0.0799,0.0723,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_nlsr::nlxb_07,15:36:35.187,15:36:35.781,0.594,0.0048,0.0039,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_nlsr::nlxb_08,15:36:35.781,15:36:36.391,0.61,0.0047,0.0038,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_nlsr::nlxb_09,15:36:36.391,15:36:37.016,0.625,0.0057,0.0045,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_nlsr::nlxb_10,15:36:37.016,15:36:37.625,0.609,0.1126,0.0882,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_minpacklm::nlsLM_01,15:46:12.900,15:46:13.322,0.422,0.0055,0.0044,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_minpacklm::nlsLM_02,15:46:13.322,15:46:13.759,0.437,0.0055,0.0044,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_minpacklm::nlsLM_03,15:46:13.759,15:46:14.212,0.453,0.0051,0.0041,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_minpacklm::nlsLM_04,15:46:14.212,15:46:14.681,0.469,0.0855,0.0749,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_minpacklm::nlsLM_05,15:46:14.697,15:46:15.134,0.437,0.0801,0.0729,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_minpacklm::nlsLM_06,15:46:15.134,15:46:15.571,0.437,0.0801,0.0729,**,maxiter = 150,Require hand-made formulas and scaling
mFriedman_minpacklm::nlsLM_07,15:46:15.587,15:46:16.009,0.422,0.1002,0.078,**,maxiter = 150,Require hand-made formulas and scaling
